article_id,authors_txt,title,pmid,volume,issue,abstract,year,journal_name,impact_factor,first_author_extracted,last_author_extracted,primary_affiliation,country
1768,Chamilos G;Lewis RE;Hu J;Xiao L;Zal T;Gilliet M;Halder G;Kontoyiannis DP,Drosophila melanogaster as a model host to dissect the immunopathogenesis of zygomycosis.,18583479,105,27,"Zygomycosis is an emerging frequently fatal opportunistic mycosis whose immunopathogenesis is poorly understood. We developed a zygomycosis model by injecting Drosophila melanogaster flies with a standardized amount of fungal spores from clinical Zygomycetes isolates to study virulence and host defense mechanisms. We found that, as opposed to most other fungi, which are nonpathogenic in D. melanogaster (e.g., Aspergillus fumigatus), Zygomycetes rapidly infect and kill wild-type flies. Toll-deficient flies exhibited increased susceptibility to Zygomycetes, whereas constitutive overexpression of the antifungal peptide Drosomycin in transgenic flies partially restored resistance to zygomycosis. D. melanogaster Schneider 2 phagocytic cells displayed decreased phagocytosis and caused less hyphal damage to Zygomycetes compared with that to A. fumigatus. Furthermore, phagocytosis-defective eater mutant flies displayed increased susceptibility to Zygomycetes infection. Classic enhancers of Zygomycetes virulence in humans, such as corticosteroids, increased iron supply, and iron availability through treatment with deferoxamine dramatically increased Zygomycetes pathogenicity in our model. In contrast, iron starvation induced by treatment with the iron chelator deferasirox significantly protected flies infected with Zygomycetes. Whole-genome expression profiling in wild-type flies after infection with Zygomycetes vs. A. fumigatus identified genes selectively down-regulated by Zygomycetes, which act in pathogen recognition, immune defense, stress response, detoxification, steroid metabolism, or tissue repair or have unknown functions. Our results provide insights into the factors that mediate host-pathogen interactions in zygomycosis and establish D. melanogaster as a promising model to study this important mycosis.",2008,Proceedings of the National Academy of Sciences of the United States of America,11.1,Chamilos G,Kontoyiannis DP,"Department of Infectious Diseases, University of Texas M. D. Anderson Cancer Center, Houston, TX 77030, USA.",USA
1836,Libert S;Chao Y;Zwiener J;Pletcher SD,Realized immune response is enhanced in long-lived puc and chico mutants but is unaffected by dietary restriction.,17681604,45,3,"The immune system is vital for the immediate survival of multicellular organisms by protecting them from the damaging effects of bacterial infections, viruses, and toxic molecules. It has been hypothesized that the immune system plays a pivotal role in determining longevity. We investigated the efficiency of the innate immune system in Drosophila carrying the longevity extending mutations puc (JNK signaling pathway, stress response) and chico (insulin signaling pathway), as well as animals subjected to dietary restriction (DR), which also extends lifespan. We found that puc heterozygous animals, as well as chico homozygous and heterozygous flies, have enhanced pathogen resistance. Surprisingly, diet manipulation did not reproducibly alter pathogen resistance, despite its significant effect on the expression of many immunity-related genes. Considering that chronic or frequent activation of the immune system results in reduced longevity, we postulate that the longevity extending potential of the above mutations may be partially obscured by parallel activation of the immune system. Such upregulation is not observed during DR, suggesting the presence of a mechanism that suppresses immune activity in diet-restricted animals.",2008,Molecular immunology,3.6,Libert S,Pletcher SD,"Program in Cell and Molecular Biology, Baylor College of Medicine, One Baylor Plaza, N820, Houston TX, 77030, United States. sergiy.libert@bcm.tmc.edu",USA
1619,Shinzawa N;Nelson B;Aonuma H;Okado K;Fukumoto S;Miura M;Kanuka H,p38 MAPK-dependent phagocytic encapsulation confers infection tolerance in Drosophila.,19748466,6,3,"Hosts employ a combination of two distinct yet compatible strategies to defend themselves against parasites: resistance, the ability to limit parasite burden, and tolerance, the ability to limit damage caused by a given parasite burden. Animals typically exhibit considerable genetic variation in resistance to a variety of pathogens; however, little is known about whether animals can evolve tolerance. Using a bacterial infection model in Drosophila, we uncovered a p38 MAP kinase-mediated mechanism of tolerance to intracellular bacterial infection as measured by the extent to which the host's survival rate increased or was maintained despite increasing bacterial burden. This increased survival was conferred primarily by a tolerance strategy whereby p38-dependent phagocytic encapsulation of bacteria resulted in enlarged phagocytes that trap bacteria. These results suggest that phagocytic responses are not restricted to resistance mechanisms but can also be applied to tolerance strategies for intracellular encapsulation of pathogens during the invertebrate immune response.",2009,Cell host & microbe,30.3,Shinzawa N,Kanuka H,"National Research Center for Protozoan Diseases, Obihiro University of Agriculture and Veterinary Medicine, Obihiro, Hokkaido, Japan.",Japan
2946,Dushay MS;Asling B;Hultmark D,"Origins of immunity: Relish, a compound Rel-like gene in the antibacterial defense of Drosophila.",8816802,93,19,"NF-kappa B/Rel transcription factors are central regulators of mammalian immunity and are also implicated in the induction of cecropins and other antibacterial peptides in insects. We identified the gene for Relish, a compound Drosophila protein that, like mammalian p105 and p100, contains both a Rel homology domain and an I kappa B-like domain. Relish is strongly induced in infected flies, and it can activate transcription from the Cecropin A1 promoter. A Relish transcript is also detected in early embryos, suggesting that it acts in both immunity and embryogenesis. The presence of a compound Rel protein in Drosophila indicates that similar proteins were likely present in primordial immune systems and may serve unique signaling functions.",1996,Proceedings of the National Academy of Sciences of the United States of America,11.1,Dushay MS,Hultmark D,"Department of Developmental Biology, Stockholm University, Sweden.",Sweden
2942,Charlet M;Lagueux M;Reichhart JM;Hoffmann D;Braun A;Meister M,Cloning of the gene encoding the antibacterial peptide drosocin involved in Drosophila immunity. Expression studies during the immune response.,8944755,241,3,"A potent inducible antibacterial peptide carrying an O-glycosylated substitution has recently been isolated from Drosophila [Bulet, P., Dimarcq, J. L., Hetru, C., Lagueux, M., Charlet, M., Hegy, G., Van Dorsselaer, A. and Hoffmann, J. A. (1993) J. Biol. Chem. 268, 14893-14897]. Here we report cloning studies that show that Drosophila contains a single, intronless gene, located at position 51C1-6, which encodes the precursor protein from which drosocin is processed. The upstream and the downstream sequences of the drosocin gene contain putative cis-regulatory elements similar to mammalian regulatory motifs, namely three kappa B-related decameric sequences. The drosocin gene is silent in naive animals, and is strongly induced with acute phase kinetics after immune challenge in larvae and in adults. We have established several transgenic fly lines in which reporter genes were placed under the control of various drosocin promoter sequences. Our results indicate that 2.5 kb of upstream sequences confer inducibility and tissue specificity to the transgene, but that the level of its expression in the fat body after immune challenge is low. Addition of genomic regions downstream of the drosocin transcribed sequences results in increased transcription levels, which are similar for the fusion and the resident drosocin genes upon infection. Analysis of transgenic fly lines showed that the drosocin reporter gene is constitutively expressed in the oviducts of egg-laying females.",1996,European journal of biochemistry,5.4,Charlet M,Meister M,"Unité Propre de Recherche 9022, Institut de Biologie Moléculaire et Cellulaire, Strasbourg, France.",France
1937,Pal S;St Leger RJ;Wu LP,Fungal peptide Destruxin A plays a specific role in suppressing the innate immune response in Drosophila melanogaster.,17227774,282,12,"Destruxins are a class of insecticidal, anti-viral, and phytotoxic cyclic depsipeptides that are also studied for their toxicity to cancer cells. They are produced by various fungi, and a direct relationship has been established between Destruxin production and the virulence of the entomopathogen Metarhizium anisopliae. Aside from opening calcium channels, their in vivo mode of action during pathogenesis remains largely uncharacterized. To better understand the effects of a Destruxin, we looked at changes in gene expression following injection of Destruxin A into the fruit fly Drosophila melanogaster. Microarray results revealed reduced expression of various antimicrobial peptides that play a major role in the humoral immune response of the fly. Flies co-injected with a non-lethal dose of Destruxin A and the normally innocuous Gram-negative bacteria Escherichia coli, showed increased mortality and an accompanying increase in bacterial titers. Mortality due to sepsis was rescued through ectopic activation of components in the IMD pathway, one of two signal transduction pathways that are responsible for antimicrobial peptide induction. These results demonstrate a novel role for Destruxin A in specific suppression of the humoral immune response in insects.",2007,The Journal of biological chemistry,4.8,Pal S,Wu LP,"Center for Biosystems Research, University of Maryland Biotechnology Institute, College Park, Maryland 20742, USA.",USA
3034,Dimarcq JL;Hoffmann D;Meister M;Bulet P;Lanot R;Reichhart JM;Hoffmann JA,Characterization and transcriptional profiles of a Drosophila gene encoding an insect defensin. A study in insect immunity.,8168509,221,1,"Insect defensins are a family of 4-kDa, cationic, inducible antibacterial peptides which bear six cysteine residues engaged in three intramolecular disulfide bridges. They owe their name to certain sequence similarities with defensins from mammalian neutrophiles and macrophages. We report the characterization of a novel defensin isoform from Drosophila and the cloning of the gene encoding a preprodefensin. The gene, which is intronless and present in a single copy/haploid genome, maps at position 46CD on the right arm of the second chromosome. The analysis of the upstream region of the gene reveals the presence of multiple putative cis-regulatory sequences similar to mammalian regulatory motifs of acute-phase-response genes. Transcriptional profiles indicate that the Drosophila defensin gene is induced by bacterial challenge with acute-phase kinetics. It is also expressed in the absence of immune challenge during metamorphosis. These and other data on the Drosophila defensin gene lead us to suggest that insect and mammalian defensins have evolved independently.",1994,European journal of biochemistry,5.4,Dimarcq JL,Hoffmann JA,"UPR CNRS Réponse immunitair et Développement chez les Insectes, Institut de Biologie Moléculaire et Cellulaire, Strasbourg, France.",France
2046,Kambris Z;Brun S;Jang IH;Nam HJ;Romeo Y;Takahashi K;Lee WJ;Ueda R;Lemaitre B,Drosophila immunity: a large-scale in vivo RNAi screen identifies five serine proteases required for Toll activation.,16631589,16,8,"Unlike mammalian Toll-like Receptors, the Drosophila Toll receptor does not interact directly with microbial determinants but is rather activated upon binding a cleaved form of the cytokine-like molecule Spatzle (Spz). During the immune response, Spz is thought to be processed by secreted serine proteases (SPs) present in the hemolymph that are activated by the recognition of gram-positive bacteria or fungi . In the present study, we have used an in vivo RNAi strategy to inactivate 75 distinct Drosophila SP genes. We then screened this collection for SPs regulating the activation of the Toll pathway by gram-positive bacteria. Here, we report the identification of five novel SPs that function in an extracellular pathway linking the recognition proteins GNBP1 and PGRP-SA to Spz. Interestingly, four of these genes are also required for Toll activation by fungi, while one is specifically associated with signaling in response to gram-positive bacterial infections. These results demonstrate the existence of a common cascade of SPs upstream of Spz, integrating signals sent by various secreted recognition molecules via more specialized SPs.",2006,Current biology : CB,9.2,Kambris Z,Lemaitre B,"Centre de Génétique Moléculaire, CNRS, Gif-sur-Yvette, France.",France
1736,El Chamy L;Leclerc V;Caldelari I;Reichhart JM,Sensing of 'danger signals' and pathogen-associated molecular patterns defines binary signaling pathways 'upstream' of Toll.,18724373,9,10,"In drosophila, molecular determinants from fungi and Gram-positive bacteria are detected by circulating pattern-recognition receptors. Published findings suggest that such pattern-recognition receptors activate as-yet-unidentified serine-protease cascades that culminate in the cleavage of Spätzle, the endogenous Toll receptor ligand, and trigger the immune response. We demonstrate here that the protease Grass defines a common activation cascade for the detection of fungi and Gram-positive bacteria mediated by pattern-recognition receptors. The serine protease Persephone, shown before to be specific for fungal detection in a cascade activated by secreted fungal proteases, was also required for the sensing of proteases elicited by bacteria in the hemolymph. Hence, Persephone defines a parallel proteolytic cascade activated by 'danger signals' such as abnormal proteolytic activities.",2008,Nature immunology,30.5,El Chamy L,Reichhart JM,"Institut de Biologie Moléculaire et Cellulaire, Centre National de la Recherche Scientifique Unité Propre de Recherche 9022, Université Louis Pasteur, Strasbourg Cedex, France.",France
1979,Mellroth P;Steiner H,PGRP-SB1: an N-acetylmuramoyl L-alanine amidase with antibacterial activity.,17046713,350,4,"The peptidoglycan recognition protein (PGRP) family is conserved from insects to mammals and is involved in immune regulation and bacterial clearance. They form at least three functional classes; receptors required for immune gene expression; amidases that degrade peptidoglycan and scavenge the tissues from immune-stimulating peptidoglycan; and as proteins with antibacterial activity. We here report that PGRP-SB1 is an N-acetylmuramoyl l-alanine amidase, which (in contrast to the previously described PGRP-amidases) shows antibacterial activity. PGRP-SB1 is highly active against peptidoglycans that have a diaminopimelic acid (DAP) residue in the cross-linking peptide, but lack activity to most lysine-containing peptidoglycans. The antibacterial activity is pronounced against Bacillus megaterium with an LD(50) of 1.5microg ml(-1). The bactericidal effect of PGRP-SB1 is dependent on its enzymatic activity, as the zinc co-factor is essential. The bactericidal mode of action is thus different from non-enzymatic vertebrate PGRPs that have been reported to be antibacterial.",2006,Biochemical and biophysical research communications,3.1,Mellroth P,Steiner H,"Department of Genetics, Microbiology, and Toxicology, Stockholm University, S-106 91 Stockholm, Sweden.",Sweden
2660,D'Argenio DA;Gallagher LA;Berg CA;Manoil C,Drosophila as a model host for Pseudomonas aeruginosa infection.,11157963,183,4,"Using the fruit fly Drosophila melanogaster as model host, we have identified mutants of the bacterium Pseudomonas aeruginosa with reduced virulence. Strikingly, all strains strongly impaired in fly killing also lacked twitching motility; most such strains had a mutation in pilGHIJKL chpABCDE, a gene cluster known to be required for twitching motility and potentially encoding a signal transduction system. The pil chp genes appear to control the expression of additional virulence factors, however, since the wild-type fly-killing phenotype of a subset of mutants isolated on the basis of their compact colony morphology indicated that twitching motility itself was not required for full virulence in the fly.",2001,Journal of bacteriology,3.2,D'Argenio DA,Manoil C,"Department of Genetics, University of Washington, Seattle, Washington 98195-7360, USA.",USA
2593,Georgel P;Naitza S;Kappler C;Ferrandon D;Zachary D;Swimmer C;Kopczynski C;Duyk G;Reichhart JM;Hoffmann JA,Drosophila immune deficiency (IMD) is a death domain protein that activates antibacterial defense and can promote apoptosis.,11703941,1,4,"We report the molecular characterization of the immune deficiency (imd) gene, which controls antibacterial defense in Drosophila. imd encodes a protein with a death domain similar to that of mammalian RIP (receptor interacting protein), a protein that plays a role in both NF-kappaB activation and apoptosis. We show that imd functions upstream of the DmIKK signalosome and the caspase DREDD in the control of antibacterial peptide genes. Strikingly, overexpression of imd leads to constitutive transcription of these genes and to apoptosis, and both effects are blocked by coexpression of the caspase inhibitor P35. We also show that imd is involved in the apoptotic response to UV irradiation. These data raise the possibility that antibacterial response and apoptosis share common control elements in Drosophila.",2001,Developmental cell,11.8,Georgel P,Hoffmann JA,"Institut de Biologie Moleculaire et Cellulaire, UPR 9022 du CNRS, Strasbourg, France.",France
2846,Uttenweiler-Joseph S;Moniatte M;Lagueux M;Van Dorsselaer A;Hoffmann JA;Bulet P,Differential display of peptides induced during the immune response of Drosophila: a matrix-assisted laser desorption ionization time-of-flight mass spectrometry study.,9736738,95,19,"We have developed an approach based on a differential mass spectrometric analysis to detect molecules induced during the immune response of Drosophila, regardless of their biological activities. For this, we have applied directly matrix-assisted laser desorption/ionization MS to hemolymph samples from individual flies before and after an immune challenge. This method provided precise information on the molecular masses of immune-induced molecules and allowed the detection, in the molecular range of 1.5-11 kDa, of 24 Drosophila immune-induced molecules (DIMs). These molecules are all peptides, and four correspond to already characterized antimicrobial peptides. We have further analyzed the induction of the various peptides by immune challenge in wild-type flies and in mutants with a compromised antimicrobial response. We also describe a methodology combining matrix-assisted laser desorption ionization time-of-flight MS, HPLC, and Edman degradation, which yielded the peptide sequence of three of the DIMs. Finally, molecular cloning and Northern blot analyses revealed that one of the DIMs is produced as a prepropeptide and is inducible on a bacterial challenge.",1998,Proceedings of the National Academy of Sciences of the United States of America,11.1,Uttenweiler-Joseph S,Bulet P,"Institut de Biologie Moléculaire et Cellulaire, Unité Propre de Recherche 9022 du Centre National de la Recherche Scientifique, 15, rue René Descartes, 67084 Strasbourg Cedex, France.",France
1752,Aggarwal K;Rus F;Vriesema-Magnuson C;Ertürk-Hasdemir D;Paquette N;Silverman N,Rudra interrupts receptor signaling complexes to negatively regulate the IMD pathway.,18688280,4,8,"Insects rely primarily on innate immune responses to fight pathogens. In Drosophila, antimicrobial peptides are key contributors to host defense. Antimicrobial peptide gene expression is regulated by the IMD and Toll pathways. Bacterial peptidoglycans trigger these pathways, through recognition by peptidoglycan recognition proteins (PGRPs). DAP-type peptidoglycan triggers the IMD pathway via PGRP-LC and PGRP-LE, while lysine-type peptidoglycan is an agonist for the Toll pathway through PGRP-SA and PGRP-SD. Recent work has shown that the intensity and duration of the immune responses initiating with these receptors is tightly regulated at multiple levels, by a series of negative regulators. Through two-hybrid screening with PGRP-LC, we identified Rudra, a new regulator of the IMD pathway, and demonstrate that it is a critical feedback inhibitor of peptidoglycan receptor signaling. Following stimulation of the IMD pathway, rudra expression was rapidly induced. In cells, RNAi targeting of rudra caused a marked up-regulation of antimicrobial peptide gene expression. rudra mutant flies also hyper-activated antimicrobial peptide genes and were more resistant to infection with the insect pathogen Erwinia carotovora carotovora. Molecularly, Rudra was found to bind and interfere with both PGRP-LC and PGRP-LE, disrupting their signaling complex. These results show that Rudra is a critical component in a negative feedback loop, whereby immune-induced gene expression rapidly produces a potent inhibitor that binds and inhibits pattern recognition receptors.",2008,PLoS pathogens,6.7,Aggarwal K,Silverman N,"Divison of Infectious Diseases, Department of Medicine, University of Massachusetts Medical School, Worcester, Massachusetts, United States of America.",USA
2088,Chiu H;Ring BC;Sorrentino RP;Kalamarz M;Garza D;Govind S,dUbc9 negatively regulates the Toll-NF-kappa B pathways in larval hematopoiesis and drosomycin activation in Drosophila.,16248995,288,1,"Highly conserved during evolution, the enzyme Ubc9 activates the small ubiquitin-like modifier (SUMO) prior to its covalent ligation to target proteins. We have used mutations in the Drosophila Ubc9 (dUbc9) gene to understand Ubc9 functions in vivo. Loss-of-function mutations in dUbc9 cause strong mitotic defects in larval hematopoietic tissues, an increase in the number of hematopoietic precursors in the lymph gland and of mature blood cells in circulation, and an increase in the proportion of cyclin-B-positive cells. Some blood cells are polyploid and multinucleate, exhibiting signs of genomic instability. We also observe an overabundance of highly differentiated blood cells (lamellocytes), normally not found in healthy larvae. Lamellocytes in mutants are either free in circulation or recruited to form tumorous masses. Hematopoietic defects of dUbc9 mutants are strongly suppressed in the absence of the Rel/NF-kappaB-family transcription factors Dorsal and Dif or in the presence of a non-signaling allele of Cactus, the IkappaB protein in Drosophila. In the larval fat body, dUbc9 negatively regulates the expression of the antifungal peptide gene drosomycin, which is constitutively expressed in dUbc9 mutants in the absence of immune challenge. dUbc9-mediated drosomycin expression requires Dorsal and Dif. Together, our results support a role for dUbc9 in the negative regulation of the Drosophila NF-kappaB signaling pathways in larval hematopoiesis and humoral immunity.",2005,Developmental biology,3.148,Chiu H,Govind S,"Department of Functional Genomics, Novartis Institutes for Biomedical Research, 100 Technology Square Bldg. 601-Rm. 6404, Cambridge, MA 02139, USA.",USA
1774,Reed DE;Huang XM;Wohlschlegel JA;Levine MS;Senger K,DEAF-1 regulates immunity gene expression in Drosophila.,18550807,105,24,"Immunity genes are activated in the Drosophila fat body by Rel and GATA transcription factors. Here, we present evidence that an additional regulatory factor, deformed epidermal autoregulatory factor-1 (DEAF-1), also contributes to the immune response and is specifically important for the induction of two genes encoding antimicrobial peptides, Metchnikowin (Mtk) and Drosomycin (Drs). The systematic mutagenesis of a minimal Mtk 5' enhancer identified a sequence motif essential for both a response to LPS preparations in S2 cells and activation in the larval fat body in response to bacterial infection. Using affinity chromatography coupled to multidimensional protein identification technology (MudPIT), we identified DEAF-1 as a candidate regulator. DEAF-1 activates the expression of Mtk and Drs promoter-luciferase fusion genes in S2 cells. SELEX assays and footprinting data indicate that DEAF-1 binds to and activates Mtk and Drs regulatory DNAs via a TTCGGBT motif. The insertion of this motif into the Diptericin (Dpt) regulatory region confers DEAF-1 responsiveness to this normally DEAF-1-independent enhancer. The coexpression of DEAF-1 with Dorsal, Dif, and Relish results in the synergistic activation of transcription. We propose that DEAF-1 is a regulator of Drosophila immunity.",2008,Proceedings of the National Academy of Sciences of the United States of America,11.1,Reed DE,Senger K,"Helen Diller Family Comprehensive Cancer Center and Cancer Research Institute, University of California, San Francisco, CA 94115-0128, USA.",USA
1710,Apidianakis Y;Rahme LG,Drosophila melanogaster as a model host for studying Pseudomonas aeruginosa infection.,19680242,4,9,"Conservation of host signaling pathways and tissue physiology between Drosophila melanogaster and mammals allows for the modeling of human host-pathogen interactions in Drosophila. Here we present the use of genetically tractable Drosophila models of bacterial pathogenesis to study infection with the human opportunistic pathogen Pseudomonas aeruginosa. We describe and compare two protocols commonly used to infect Drosophila with P. aeruginosa: needle-pricking and injector-pumping. Each model has relevance for examining host components and bacterial factors in host defense and virulence. Fly survival and bacterial proliferation within host flies can be assessed as a measure of host susceptibility and pathogen virulence potential. The profiles of host responses toward P. aeruginosa virulent and non-virulent strains can be determined, enabling the identification of interaction-specific genes that could potentially favor or limit the initiation and progression of infection. Both of the protocols presented herein may be adapted for the inoculation and study of other microbial pathogens. P. aeruginosa cell preparation requires 24 h, fly inoculation 1 h, and fly survival and bacterial proliferation 1-4 d.",2009,Nature protocols,14.8,Apidianakis Y,Rahme LG,"Department of Surgery, Harvard Medical School, Massachusetts General Hospital, Boston, Massachusetts, USA.",USA
1781,Vonkavaara M;Telepnev MV;Rydén P;Sjöstedt A;Stöven S,Drosophila melanogaster as a model for elucidating the pathogenicity of Francisella tularensis.,18248629,10,6,"Drosophila melanogaster is a widely used model organism for research on innate immunity and serves as an experimental model for infectious diseases. The aetiological agent of the zoonotic disease tularaemia, Francisella tularensis, can be transmitted by ticks and mosquitoes and Drosophila might be a useful, genetically amenable model host to elucidate the interactions between the bacterium and its arthropod vectors. We found that the live vaccine strain of F. tularensis was phagocytosed by Drosophila and multiplied in fly haemocytes in vitro and in vivo. Bacteria injected into flies resided both inside haemocytes and extracellularly in the open circulatory system. A continuous activation of the humoral immune response, i.e. production of antimicrobial peptides under control of the imd/Relish signalling pathway, was observed and it may have contributed to the relative resistance to F. tularensis as flies defective in the imd/Relish pathway died rapidly. Importantly, bacterial strains deficient for genes of the F. tularensis intracellular growth locus or the macrophage growth locus were attenuated in D. melanogaster. Our results demonstrate that D. melanogaster is a suitable model for the analysis of interactions between F. tularensis and its arthropod hosts and that it can also be used to identify F. tularensis virulence factors relevant for mammalian hosts.",2008,Cellular microbiology,3.4,Vonkavaara M,Stöven S,"Department of Clinical Microbiology, Umeå University, 90185 Umeå, Sweden.",Sweden
2667,Zhou Z;Rodriguez A;Wu CY;Kimbrell DA,Drosophila cellular immune system: Dorothy encodes a UDP glycosyltransferase.,11418991,484,,,2001,Advances in experimental medicine and biology,3.65,Zhou Z,Kimbrell DA,"Department of Biochemistry and Cell Biology, Rice University, 6100 Main Street, Houston, TX 77005-1892, USA.",USA
1812,Ramsden S;Cheung YY;Seroude L,Functional analysis of the Drosophila immune response during aging.,18221416,7,2,"One of the most dramatic changes associated with aging involves immunity. In aging mammals, immune function declines and chronic inflammation develops. The biological significance of this phenomenon and its relationship with aging is a priority for aging research. Drosophila is an invaluable tool in understanding the effects of aging on the immune response. Similar to the state of chronic inflammation in mammals, Drosophila exhibits a drastic up-regulation of immunity-related genes with age. However, it remains unclear whether immune function declines with age as seen in mammals. We evaluated the impact of aging on Drosophila immune function by examining across age the ability to eliminate and survive different doses of bacterial invaders. Our findings show that aging reduces the capacity to survive a bacterial infection. In contrast, we found no evidence that aging affects the ability to eliminate bacteria indicating that the mechanisms underlying immune senescence are not involved in eliminating bacteria or preventing their proliferation.",2008,Aging cell,7.8,Ramsden S,Seroude L,"Department of Biology, Queen's University, Kingston, ON K7L 3N6, Canada.",Canada
1625,Ha EM;Lee KA;Seo YY;Kim SH;Lim JH;Oh BH;Kim J;Lee WJ,Coordination of multiple dual oxidase-regulatory pathways in responses to commensal and infectious microbes in drosophila gut.,19668222,10,9,"All metazoan guts are in permanent contact with the microbial realm. However, understanding of the exact mechanisms by which the strength of gut immune responses is regulated to achieve gut-microbe mutualism is far from complete. Here we identify a signaling network composed of complex positive and negative mechanisms that controlled the expression and activity of dual oxidase (DUOX), which 'fine tuned' the production of microbicidal reactive oxygen species depending on whether the gut encountered infectious or commensal microbes. Genetic analyses demonstrated that negative and positive regulation of DUOX was required for normal host survival in response to colonization with commensal and infectious microbes, respectively. Thus, the coordinated regulation of DUOX enables the host to achieve gut-microbe homeostasis by efficiently combating infection while tolerating commensal microbes.",2009,Nature immunology,30.5,Ha EM,Lee WJ,"Division of Life and Pharmaceutical Science, National Creative Research Initiative Center for Symbiosystem, Ewha Woman's University, Seoul, South Korea.",South Korea
3030,Konrad L;Becker G;Schmidt A;Klöckner T;Kaufer-Stillger G;Dreschers S;Edström JE;Gateff E,"Cloning, structure, cellular localization, and possible function of the tumor suppressor gene lethal(3)malignant blood neoplasm-1 of Drosophila melanogaster.",8174791,163,1,"The tumor suppressor gene, lethal(3)malignant blood neoplasm-1+, of Drosophila melanogaster is required for the differentiation of the phagocytic blood-cell type, the plasmatocyte. In the homozygously mutated state it causes the malignant transformation of these blood cells. We present here the cloning, sequencing, structure, and expression of the l(3)mbn-1+ gene during development. The cloned gene was identified by germ-line transformation, generation of revertants, and the detection of the corresponding mRNA in blood cells and other tissues. Homologies of the G-S-rich C-terminus of the putative MBN83 protein to human cytokeratins K1, K10, and mouse loricrin were found. The structure and possible function of the wild-type l(3)mbn-1+ gene are discussed.",1994,Developmental biology,3.148,Konrad L,Gateff E,"Institut für Genetik, Johannes Gutenberg Universität, Mainz, Federal Republic of Germany.",Germany
1801,Kleino A;Myllymäki H;Kallio J;Vanha-aho LM;Oksanen K;Ulvila J;Hultmark D;Valanne S;Rämet M,Pirk is a negative regulator of the Drosophila Imd pathway.,18390723,180,8,"NF-kappaB transcription factors are involved in evolutionarily conserved signaling pathways controlling multiple cellular processes including apoptosis and immune and inflammatory responses. Immune response of the fruit fly Drosophila melanogaster to Gram-negative bacteria is primarily mediated via the Imd (immune deficiency) pathway, which closely resembles the mammalian TNFR signaling pathway. Instead of cytokines, the main outcome of Imd signaling is the production of antimicrobial peptides. The pathway activity is delicately regulated. Although many of the Imd pathway components are known, the mechanisms of negative regulation are more elusive. In this study we report that a previously uncharacterized gene, pirk, is highly induced upon Gram-negative bacterial infection in Drosophila in vitro and in vivo. pirk encodes a cytoplasmic protein that coimmunoprecipitates with Imd and the cytoplasmic tail of peptidoglycan recognition protein LC (PGRP-LC). RNA interference-mediated down-regulation of Pirk caused Imd pathway hyperactivation upon infection with Gram-negative bacteria, while overexpression of pirk reduced the Imd pathway response both in vitro and in vivo. Furthermore, pirk-overexpressing flies were more susceptible to Gram-negative bacterial infection than wild-type flies. We conclude that Pirk is a negative regulator of the Imd pathway.",2008,"Journal of immunology (Baltimore, Md. : 1950)",4.4,Kleino A,Rämet M,"Institute of Medical Technology, University of Tampere, Finland.",Finland
1677,Ha EM;Lee KA;Park SH;Kim SH;Nam HJ;Lee HY;Kang D;Lee WJ,Regulation of DUOX by the Galphaq-phospholipase Cbeta-Ca2+ pathway in Drosophila gut immunity.,19289084,16,3,"All metazoan guts are in constant contact with diverse food-borne microorganisms. The signaling mechanisms by which the host regulates gut-microbe interactions, however, are not yet clear. Here, we show that phospholipase C-beta (PLCbeta) signaling modulates dual oxidase (DUOX) activity to produce microbicidal reactive oxygen species (ROS) essential for normal host survival. Gut-microbe contact rapidly activates PLCbeta through Galphaq, which in turn mobilizes intracellular Ca(2+) through inositol 1,4,5-trisphosphate generation for DUOX-dependent ROS production. PLCbeta mutant flies had a short life span due to the uncontrolled propagation of an essential nutritional microbe, Saccharomyces cerevisiae, in the gut. Gut-specific reintroduction of the PLCbeta restored efficient DUOX-dependent microbe-eliminating capacity and normal host survival. These results demonstrate that the Galphaq-PLCbeta-Ca(2+)-DUOX-ROS signaling pathway acts as a bona fide first line of defense that enables gut epithelia to dynamically control yeast during the Drosophila life cycle.",2009,Developmental cell,11.8,Ha EM,Lee WJ,"Division of Life and Pharmaceutical Science, Ewha Woman's University, Seoul 120-750, South Korea.",South Korea
1733,Tang H;Kambris Z;Lemaitre B;Hashimoto C,A serpin that regulates immune melanization in the respiratory system of Drosophila.,18854145,15,4,"Epithelial tissues facing the external environment are essential to combating microbial infection. In addition to providing a physical barrier, epithelial tissues mount chemical defenses to prevent invasion of internal tissues by pathogens. Here, we describe that the melanization reaction implicated in host defense is activated in the respiratory system, the trachea, of Drosophila. Tracheal melanization can be activated by the presence of microorganisms but is normally blocked by Spn77Ba, a protease inhibitor in the serpin family. Spn77Ba inhibits a protease cascade involving the MP1 and MP2 proteases that activates phenol oxidase, a key enzyme in melanin biosynthesis. Unexpectedly, we found that tracheal melanization resulting from Spn77Ba disruption induces systemic expression of the antifungal peptide Drosomycin via the Toll pathway. Such signaling between local and systemic immune responses could represent an alarm mechanism that prepares the host in case a pathogen breaches epithelial defenses to invade internal tissues.",2008,Developmental cell,11.8,Tang H,Hashimoto C,"Department of Molecular, Cellular, and Developmental Biology, Yale University, New Haven, CT 06520, USA.",USA
